IRI0,Rainfall,Temperature min,Temperature max,Truck CV,Target IRI
3.66,2299.6,5933,9812,3373,6.5
4.2,2299.6,5933,9812,3373,6.1
4.04,2299.6,5933,9812,3373,5.2
4.25,2299.6,5933,9812,3373,6.2
4.23,2299.6,5933,9812,3373,5.2
5.03,2299.6,5933,9812,3373,6.8
3.99,2299.6,5933,9812,3373,5.7
4.31,2299.6,5933,9812,3373,5.5
4.52,2299.6,5933,9812,3373,6.5
4.41,2299.6,5933,9812,3373,6
3.5,2299.6,5933,9812,3373,5.3
3.88,2299.6,5933,9812,3373,5.5
4.63,2743.8,5933,9812,3373,7.2
4.65,2743.8,5933,9812,3373,5.2
4.14,2743.8,7919,5158,1157,5.1
3.7,2743.8,7919,5158,1157,4.9
4.44,2743.8,7919,5158,1157,5.4
4.07,2743.8,7919,5158,1157,5.5
4.02,2642.9,7919,5158,1157,5.2
4.31,2642.9,7919,5158,1157,5.7
3.78,2642.9,7919,5158,1157,4.6
4.04,2642.9,7919,5158,1157,5.3
3.7,2642.9,7919,5158,1157,4.6
4.65,2642.9,7919,5158,1157,8.3
4.97,2642.9,7919,5158,1157,6.7
4.38,2642.9,7919,5158,1157,6.6
4.71,2642.9,7919,5158,1157,6.8
4.54,2642.9,7919,5158,2982,5.8
4.71,2642.9,7919,5158,2982,6.6
4.82,2642.9,7919,5158,2982,6.5
4.52,2642.9,7919,5158,2982,6.7
5.22,2642.9,7919,5158,2982,7.3
4.5,2642.9,7919,5158,2982,6.2
4.31,2642.9,7919,5158,2982,5.3
5.53,2642.9,7919,5158,2982,8.4
4.57,2642.9,7919,5158,2982,6
4.55,2642.9,7919,5158,2982,6.7
5.85,2642.9,7919,5158,2982,8.1
5.7,4237.1,6051,10746,2982,8.1
5.02,4237.1,6051,10746,2982,7.7
5.1,4237.1,6051,10746,2982,8.4
4.71,4237.1,6051,10746,2982,7.7
5,4237.1,6051,10746,2982,6
4.14,4237.1,6051,10746,2982,6.6
4.73,4237.1,6051,10746,2982,7.4
4.98,4237.1,6051,10746,2982,8.4
4.84,4237.1,6051,10746,2982,7.3
4.92,4237.1,6051,10746,2982,7.2
4.78,4237.1,6051,10746,2982,7.4
4.82,4237.1,6051,10746,2982,7.6
6.74,4237.1,6051,10746,2982,11.2
8.63,4237.1,6051,10746,2982,13.9
9.35,4237.1,6051,10746,2982,15.3
6.34,6339.3,5840,10277,2982,15.5
7.74,6339.3,5840,10277,2982,14.9
1.75,6339.3,5840,10277,2982,15.1
8.38,6339.3,5840,10277,2982,13.3
6.15,8094.1,5723,9798,2982,9.2
3.98,3346.9,6089,10472,239,4.6
4.2,3346.9,6089,10472,239,5.5
3.74,3557.8,6089,10472,239,6.8
4.44,1232,8775,0,1404,6.6
4.2,2483.6,8775,0,1404,4.9
4.79,2483.6,8775,0,1404,5.6
4.71,2483.6,8775,0,1404,6.2
7.464,1610.6,7418,10722,575,9.1
5.608,2172.7,7492,11285,247,6.8
6.168,2172.7,7492,11285,247,7.9
6.168,2172.7,7492,11285,247,7.6
6.888,2383.1,6788,11156,2939,10.3
6.36,2383.1,6788,11156,2249,9
4.376,2208.5,6316,10116,322,5.8
5.592,3669.5,6316,10116,322,6.3
4.584,3669.5,6316,10116,322,7.7
11.592,5044.8,6316,10116,494,15
10.472,8094.1,6316,10116,494,13.7
9.8,8094.1,6316,10116,494,13.7
7.816,8094.1,5723,9798,494,10.1
5.96,3388.1,6965,10917,640,7.1
4.87,6683.9,10162,16961,2352,5.84
4.66,6113.8,10162,16961,5038,6.72
5.61,6084.2,10162,16961,5038,8.08
3.74,6084.2,10162,16961,5038,4.85
3.29,3764.9,11044,16865,3024,4.64
7.03,4531.6,11044,16865,2116,9.11
5.75,4531.6,11044,16865,2116,7.6
4.41,4531.6,11044,16865,2116,8.01
4.54,5050.5,10928,16662,3704,7.69
5.37,5050.5,10928,16662,3704,8.35
6.92,5022.7,10928,16662,3704,10.32
4.89,5022.7,10928,16662,3704,9.07
4.87,5022.7,10928,16662,3704,8.6
5.4,5022.7,10928,16662,3532,10.26
4.97,5022.7,10928,16662,3532,10.26
4.9,5022.7,10928,16662,3532,11.17
5.11,5022.7,10928,16662,3532,8.42
4.66,5022.7,10928,16662,3532,13.33
5.59,5022.7,10928,16662,3532,7.92
4.55,5022.7,10928,16662,3532,8.81
3.98,5022.7,10928,16662,3532,7.85
4.15,5022.7,10928,16662,3532,8.93
3.91,856,10928,16662,3532,5.7
3.35,856,10928,16662,3532,7.62
7.78,856,10928,16662,3532,10.9
5.19,856,10928,16662,3532,9.82
4.09,856,10928,16662,3532,7.36
3.61,856,10928,16662,3532,5.74
4.06,856,10928,16662,3532,6.42
4.23,3609.4,9215,15972,7278,7.47
3.9,3609.4,9215,15972,7278,6.88
5.22,3609.4,9215,15972,7278,8.16
5.35,3609.4,9215,15972,7278,7.81
5.29,3609.4,9215,15972,7278,10.61
6.06,6155.5,9215,15972,7278,10.5
4.52,6831.2,8712,17735,4158,6.17
4.38,6831.2,8712,17735,4158,5.81
4.58,5715.9,8712,17735,4158,6.84
5.62,5715.9,8712,17735,4158,10.58
3.72,4640.1,8712,17735,4178,5
3.85,4640.1,8712,17735,4178,6.15
3.99,4640.1,8712,17735,3128,4.86
4.02,4640.1,8712,17735,3128,4.89
5.96,3962.8,8712,17735,3295,11.7
6.1,3962.8,8712,17735,3295,7.36
6.2,5159.4,8712,17735,2117,8.03
6.52,5159.4,8712,17735,2117,12.34
6.26,5159.4,8712,17735,2117,9.31
6.98,5159.4,8712,17735,2725,11.47
5.9,5159.4,8712,17735,2725,10.63
5.58,5159.4,8712,17735,1883,9.7
5.62,5159.4,8712,17735,1883,13.55
8.5,2931.3,8712,17735,1883,14.22
7.56,2931.3,8712,17735,1883,17.88
8.46,2931.3,8712,17735,1883,16.22
8.23,2931.3,8712,17735,1883,13.82
8.36,2931.3,8712,17735,1883,14.43
5.8,2931.3,8712,17735,1883,12.47
7.91,2931.3,10299,16901,1883,12.05
4.97,2931.3,10299,16901,2243,13.69
6.74,2931.3,10299,16901,2243,15.17
6.55,2931.3,10299,16901,2243,15.12
6.84,2931.3,10299,16901,2243,10.49
6.15,2931.3,10299,16901,2243,11.25
