S.N,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,IRI
225,0.4,0.6,0,0,0.4,0,0.177,1.1,0.15,0,0.23,0.8165,0,0,0.6,0.23,0.01,0,0,0.21,0,0,0,0,6.11
226,0,0,0,0,0,0,0.65,1.21,0,0,1.46,0.66,0,0,0,0,0,0,0,0,0,0,0,0.15,5.95
227,0.6,0.04,0,0,0,0,0,0.12,0,0,0.12,0.19,0,0.2,0,0,0,0,0,0,0,0,0,0.5,4.38
228,0,0,0,0,0,0,0,0.66,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15
229,0,0.65,0.1,0,1.22,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0.01,0.26,0,0,3.19
230,0,0,0,0,0,0,0.4,0,3.15,0,0.9,0,0,1.1,0,0,0.06,0,0,0,0,0,0,0,4.52
231,0,0.6,0,0,0,0,1.25,1.2,0.89,0,0.66,0.5,0,0.32,0,0,0.06,0,0,0,0,0,0.15,0,5.46
232,0,2.5,0,0,0.8,0.5,0.12,0.6,0,0,0.06,0.104,0,0,0,0,0,0,0,0.156,0,0,0,0,4.5
233,0.6,0,0,1.3,0,0,0.256,0,1.13,0,0.22,0,0,0.6,0,0,0,0,0.2,0.79,0.15,0,0,0.15,3.07
234,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
235,0.9,0,0.3,0,0,0.7,0,0.42,0.45,0,0.55,0,0,0,0,0,0,0,0,0,0.65,0,0,0,4.89
236,0,0,0,0,0,1.9,0.15,0.8,0,0.78,0.66,0,0,0,0.15,0,0,0,0.12,0,0,0,0,0,2.07
237,0.6,0,0,0,0,0,0,0,1.5,0,0,0,0.25,0,0,0,0.01,0,0,0,0,0,0,0,1.76
238,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0.65,0,0,0,4.69
239,0,0,0,0,0,0,0.6,0.23,0.6,0,0.76,0,0,0.2,0,0.04,0,0,0,0,0,0,0,0,2.86
240,0,0,0,0,0,0,0,0,0,0,0.01,0.13,0,0,0,0.98,0,0,0,0.156,0.48,0,0,0,4.99
241,0,0.9,0,0,0,0,1.1,1.6,0.81,0,0.366,0,0,0,0,0.12,0,0,0,0,0,0.12,0,0.6,5.91
242,0,0.63,0,0,0.0356,0,0,0,0,0.31,0.7255,0.2,0,2.6,0.75,0,0,0,0,0.33,0,0,0,0,4.68
243,0,1.5,0,0,0.5,0,0.4,2.26,2.77,0,0,0,0,0.33,0,0,0.01,0,0,0,0,0.26,0.46,0,5.26
244,0,0,0,0,0,0.45,0.45,0.14,0,0,0.25,0.2,0,0.9,0.55,0.01,0,0,0,0,0,0,0,0,4.94
245,0,0,1.4,0,0,1.5,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4.82
246,0,2.4,0,2,0,0,0,0,0.6,0,0,1.55,0,4.2,0,0,0,0,0,0,0,0,0,0,7.07
247,0,0,0,0,0,0.545,0.516,0.9,0.55,0,0,0.56,0,2.336,0.7,0,0,0,0.33,0,0.17,0,0,0,5.34
248,0,0,0,0,0.65,0,0.3,0.26,0.22,0.3,0.56,0.45,0,0.4,0,0,0,0,0,0.87,0,0,1.25,0,5.61
249,0,0,0,0,0,0,1,1.2,1.27,0,0.35,0.31,0,0,0,0.01,0.08,0,0,0,0,0,1.5,0,6.48
250,0,0,0,0,0,0,0,0,0.48,0,0,0.5,0,0,0,0,0.13,0,0,0,0,0,0,0.5,5.16
251,0,0,0,0,0,0,0,0,0.78,0,0,0.12,0,0,0.81,0.065,0,0,0,0,0.05,0.9,0.4,0.56,6.14
252,1.5,0,0.5,0,0.6,0,0,0.23,0,0.12,0.32,1.19,0,0,0.45,0,0,0,0,0.13,0,0,0.62,0,5.48
253,0,0,0.5,0.15,0,0,0.66,0,0,0,0,0,0,0.5,0,0.1,0,0.03,0,0,0,0,0,0,5.18
