ACLM,ACH,LTLM,LTH,PLM,PH,BH,PaLM,PaH,RuLM,RuH,DBL,DBH,RoadRoidIRI
0.66,0.407,0.654,0.164,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.131,3.558
0.0,0.678,1.09,0.414,0.088,0.0,1.28,0.273,0.545,0.0,0.153,0.436,0.0,4.487
0.0,0.0,1.635,0.36,0.0,0.0,2.21,0.251,0.545,0.0,0.0,0.338,0.12,3.609
0.0,0.0,0.0,0.36,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.349,0.109,2.421
0.0,0.0,0.251,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218,0.0,2.154
0.0,0.0,0.218,0.327,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.218,3.003
0.6,0.0,1.406,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.496,0.0,0.0,2.511
0.0,0.0,0.654,0.61,0.0,0.0,1.2,0.0,0.0,0.654,0.0,0.818,0.0,3.025
0.0,0.294,0.0,0.0,0.0,0.0,0.0,0.131,0.0,0.0,0.0,1.232,0.0,2.65
1.21,0.66,0.78,0.127,0.151,0.14,3.273,0.0,0.327,0.0,0.0,0.32,0.88,9.12
0.4,0.65,1.23,0.11,0.33,0.09,4.65,0.52,1.23,0.055,0.0,0.12,0.14,9.484
0.0,0.0,2.082,0.0,0.253,0.054,0.0,0.0,0.273,0.0,0.0,0.164,0.807,4.189
7.65,0.0,4.709,3.259,0.275,0.0,0.0,3.237,0.0,0.0,0.0,0.0,0.0,8.995
0.0,0.0,1.548,0.131,0.143,0.054,0.0,0.273,0.0,0.0,0.0,0.469,0.0,3.395
0.0,0.0,0.654,0.0,0.275,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,3.301
0.0,0.452,0.0,0.0,0.66,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,5.751
1.88,0.0,3.019,0.0,0.0,0.367,0.0,0.0,0.0,1.766,0.0,2.747,0.0,7.125
0.0,0.0,3.652,0.0,0.0,0.562,0.0,0.0,0.0,0.0,0.458,0.0,0.0,7.544
0.92,0.0,0.458,0.0,0.44,0.0,2.64,0.654,0.0,0.981,0.0,0.491,0.0,5.397
0.0,0.475,0.937,1.319,0.0,0.0,2.42,0.0,3.357,0.61,0.0,0.445,0.0,6.04
0.88,0.0,1.315,3.662,0.0,0.0,0.96,1.526,0.196,0.0,0.0,1.45,0.0,5.17
0.42,0.0,2.32,0.0,0.0,0.0,4.92,3.357,0.654,0.0,0.0,0.501,0.0,5.158
1.0,0.0,1.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,2.637
0.0,0.949,2.616,0.0,0.0,0.0,0.0,0.654,3.052,0.349,0.0,4.469,0.0,5.937
0.92,2.011,2.616,0.0,0.0,0.0,1.2,0.785,0.0,0.0,0.0,0.0,0.0,6.126
0.0,0.0,0.17,0.164,0.055,0.0,0.0,0.0,0.0,0.687,0.0,0.512,0.719,3.625
0.0,0.0,2.409,0.164,0.0,0.248,0.25,0.0,0.0,0.719,0.0,0.927,0.392,8.985
0.51,0.0,2.605,0.164,0.0,0.013,0.0,0.679,0.0,0.218,0.0,0.0,0.687,4.526
0.0,0.17,0.0,0.055,0.055,0.0,0.66,0.0,0.382,0.273,0.234,1.276,0.0,4.129
0.0,0.0,0.732,0.12,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.85,0.0,3.125
0.4,0.17,1.766,1.33,0.572,0.0,0.0,0.0,0.709,0.0,0.0,0.719,0.109,9.635
0.0,0.678,0.164,0.573,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.665,0.0,4.998
0.0,0.0,0.709,0.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.0,3.325
0.11,0.0,0.262,0.667,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.545,3.665
1.18,0.0,0.959,0.0,0.055,0.0,1.8,0.349,0.0,0.0,0.0,0.61,0.0,3.214
0.0,0.0,0.916,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.948,0.0,3.21
0.0,0.0,0.461,0.109,0.0,0.011,0.65,0.602,0.0,0.0,0.0,0.0,0.719,4.005
0.33,0.0,0.613,0.36,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.927,0.273,4.788
0.51,0.0,0.0,0.0,0.0,0.0,2.83,0.164,0.0,0.0,0.0,0.61,0.0,6.325
0.0,0.0,0.687,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.0,6.325
0.0,0.746,0.545,0.785,0.0,0.065,0.26,0.0,0.0,0.0,0.0,0.0,0.0,4.135
0.5,0.0,0.635,0.164,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,2.638
0.0,0.0,0.839,0.164,0.0,0.0,0.0,0.567,0.0,0.0,0.0,1.439,1.297,4.005
0.52,0.0,1.128,1.123,0.001,0.0,1.2,0.0,0.0,0.0,0.0,0.164,0.0,4.012
0.55,0.0,0.927,0.6,0.055,0.0,0.75,0.0,0.0,0.0,0.0,1.014,0.349,3.228
0.55,0.0,0.632,0.24,0.0,0.0,1.17,0.382,0.283,0.0,0.0,1.33,0.234,4.225
0.0,0.565,3.064,0.17,0.0,0.006,1.02,0.12,0.0,0.0,0.0,0.807,0.164,6.107
0.61,0.0,2.115,1.559,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.436,1.417,7.032
